partner,course,skills,rating,reviewcount,level,certificatetype,duration,crediteligibility
University of Pennsylvania,Introduction to Programming with Python and Java,"{"" Computer Programming"","" Python Programming"","" Programming Principles"","" Java Programming"","" Computer Programming Tools"","" Data Analysis"","" Data Structures"","" Problem Solving"","" Computational Logic"","" Computational Thinking"","" Critical Thinking"","" Data Analysis Software"","" Data Management"","" Data Visualization"","" Exploratory Data Analysis"","" Software Engineering"","" Data Science""}",4.4,1.5k,Beginner , Specialization , 3 - 6 Months,false
University of Virginia,Entrepreneurship: Growing Your Business,"{"" Leadership and Management"","" Strategy and Operations"","" Strategy"","" Critical Thinking"","" Leadership Development"","" Decision Making"","" Business Development"","" Entrepreneurship"","" Human Learning"","" Business Analysis"","" Communication"","" Finance"","" Account Management"","" Accounting"","" Accounts Payable and Receivable"","" Financial Accounting"","" Financial Analysis"","" General Accounting"","" Generally Accepted Accounting Principles (GAAP)"","" Organizational Development"","" Planning"","" Problem Solving"","" Business Transformation"","" Marketing"","" Sales"","" Business Design"","" Financial Management"","" Payments"","" Customer Success"","" Innovation""}",4.8,7.1k,Beginner , Specialization , 3 - 6 Months,false
IESE Business School,Think like a CFO,"{"" Finance"","" Financial Accounting"","" Accounting"","" Investment Management"","" Financial Management"","" Financial Analysis"","" Leadership and Management"","" Risk Management"","" Corporate Accouting"","" Market Analysis"","" Management Accounting""}",4.8,5.7k,Beginner , Specialization , 3 - 6 Months,false
University of Pennsylvania,Fintech: Foundations & Applications of Financial Technology,"{"" FinTech"","" Finance"","" BlockChain"","" Innovation"","" Investment Management"","" Financial Management"","" Financial Analysis"","" Risk Management"","" General Statistics"","" Payments"","" Behavioral Economics"","" Entrepreneurial Finance"","" Market Research"","" Cash Management"","" Cryptography"","" Human Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Securities Trading"","" Applied Machine Learning"","" Machine Learning"","" Product Strategy"","" Business Transformation"","" Critical Thinking""}",4.6,3.5k,Beginner , Specialization , 3 - 6 Months,false
Johns Hopkins University,Psychological First Aid,"{""(18.4k reviews)""}",4.8,18.4k,Mixed , Course , 1 - 3 Months,false
Google,Google Data Analytics (PT),"{"" Data Analysis"","" Data Visualization"","" Exploratory Data Analysis"","" Process Analysis"","" Databases"","" Data Management"","" Extract"","" Transform"","" Load"","" Statistical Programming"","" SQL"","" Business Analysis"","" Spreadsheet Software"","" Operational Analysis"","" Data Analysis Software"","" Microsoft Excel"","" Visualization (Computer Graphics)"","" Communication"","" Critical Thinking"","" Interactive Data Visualization"","" Programming Principles"","" Statistical Visualization"","" Collaboration"","" Organizational Development"","" Plot (Graphics)"","" R Programming"","" Strategy"","" Tableau Software"","" Storytelling"","" Strategy and Operations"","" Business Communication"","" Graph Theory"","" Project Management"","" Data Structures"","" Graphic Design"","" Leadership and Management"","" System Security""}",4.9,2.9k,Beginner , Professional Certificate , 3 - 6 Months,false
MedCerts,Pharmacy Technician Fundamentals,"{"" Communication"","" Leadership and Management""}",4.7,126,Beginner , Specialization , 3 - 6 Months,false
IBM,Tools for Data Science,"{"" Data Science"","" R Programming"","" Cloud Computing"","" Computer Programming"","" IBM Cloud"","" Python Programming""}",4.5,27.6k,Beginner , Course , 1 - 3 Months,false
Multiple educators,Practical Data Science on the AWS Cloud,"{"" Amazon Web Services"","" Exploratory Data Analysis""}",4.5,524,Advanced , Specialization , 1 - 3 Months,false
Università Bocconi,Private Equity and Venture Capital,"{"" Business Analysis"","" Entrepreneurial Finance"","" Finance"","" Financial Management"","" Investment Management"","" Mergers & Acquisitions"","" Entrepreneurship"","" Decision Making"","" Financial Analysis"","" Strategy""}",4.8,7.8k,Mixed , Course , 1 - 3 Months,false
Google,Foundations of Business Intelligence,"{"" Business Intelligence"","" Leadership and Management""}",4.8,670,Advanced , Course , 1 - 4 Weeks,false
"University of California, Davis",Geographic Information Systems  (GIS),"{"" ArcGIS"","" Data Analysis"","" Spatial Analysis"","" Spatial Data Analysis"","" Data Visualization"","" GIS Software"","" Geovisualization"","" Data Visualization Software"","" Databases"","" Interactive Data Visualization"","" Leadership and Management""}",4.8,5.8k,Beginner , Specialization , 3 - 6 Months,false
University of Minnesota,Human Resource Management: HR for People Managers,"{"" Human Resources"","" Human Resources Operations"","" Employee Relations"","" Strategy and Operations"","" People Management"","" Leadership and Management"","" Communication"","" Strategy"","" Compensation"","" People Development"","" Performance Management"","" Organizational Development"","" Planning"","" Professional Development"","" Recruitment"","" Business Psychology"","" Human Learning"","" People Analysis"","" Benefits"","" Business Analysis"","" Culture""}",4.8,13.8k,Beginner , Specialization , 3 - 6 Months,false
Yale University,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,"{"" Negotiation"","" Game Theory"","" Strategy""}",4.9,4.7k,Mixed , Course , 1 - 3 Months,false
University of Alberta,Software Product Management,"{"" Software Engineering"","" Agile Software Development"","" Product Management"","" Design and Product"","" Leadership and Management"","" Project Management"","" Planning"","" Application Development"","" Product Design"","" Entrepreneurship"","" Strategy and Operations"","" Business Analysis"","" Collaboration"","" User Experience"","" Scrum (Software Development)"","" Supply Chain and Logistics""}",4.7,11.3k,Beginner , Specialization , 3 - 6 Months,false
"University of California, Irvine",Project Management & Other Tools for Career Development,"{"" Project Management"","" Communication"","" Collaboration"","" Decision Making"","" Leadership and Management"","" Strategy and Operations"","" Business Communication"","" People Management"","" Business Analysis"","" Conflict Management"","" Critical Thinking"","" Problem Solving"","" Professional Development"","" Customer Relationship Management"","" Business Development"","" Negotiation"","" Planning"","" Writing"","" Adaptability"","" Deep Learning"","" Business Research"","" Strategy"","" Benefits"","" Data Visualization Software"","" Risk Management"","" Scrum (Software Development)"","" User Experience""}",4.7,34.9k,Beginner , Specialization , 3 - 6 Months,false
"University of Maryland, College Park","Product Ideation, Design, and Management","{"" Leadership and Management"","" Strategy and Operations"","" Product Management"","" Design and Product"","" Entrepreneurship"","" Product Development"","" Strategy"","" Product Design"","" Marketing"","" Product Strategy"","" Research and Design"","" Market Research"","" Market Analysis"","" Product Marketing"","" Finance"","" Sales"","" Investment Management"","" Planning"","" Project Management"","" Financial Analysis"","" Financial Management"","" Business Psychology"","" Budget Management"","" Entrepreneurial Finance"","" Software Engineering Tools"","" Innovation""}",4.5,470,Beginner , Specialization , 3 - 6 Months,false
IBM,Excel Basics for Data Analysis,"{"" Microsoft Excel"","" Spreadsheet Software"","" Data Analysis"","" Data Science""}",4.8,6.7k,Beginner , Course , 1 - 3 Months,false
"University of California, Irvine",UCI Project Management,"{"" Leadership and Management"","" Strategy and Operations"","" Project Management"","" Planning""}",4.7,276,Beginner , Professional Certificate , 3 - 6 Months,false
Google Cloud,Getting started with Google Workspace,"{"" Collaboration"","" Google Cloud Platform"","" Communication"","" Cloud Applications"","" User Experience"","" Leadership and Management"","" Cloud Platforms"","" Cloud Computing"","" Business Communication"","" Organizational Development"","" Google App Engine"","" Cloud Storage"","" Data Management"","" Planning"","" Problem Solving"","" Business Analysis"","" Spreadsheet Software"","" Business Process Management"","" Data Visualization"","" Other Cloud Platforms and Tools"","" Project Management"","" Writing"","" Professional Development"","" Data Analysis"","" Strategy"","" Databases"","" Design and Product"","" Visual Design"","" Graphic Design""}",4.7,1.3k,Beginner , Specialization , 3 - 6 Months,false
Stanford University,Organizational Analysis,"{"" Leadership and Management"","" Organizational Development"","" Strategy"","" Strategy and Operations"","" Decision Making"","" Business Psychology"","" Change Management"","" Culture"","" Business Analysis"","" People Analysis""}",4.6,1.4k,Beginner , Course , 1 - 3 Months,false
Google,Google Data Analytics,"{"" Decision Making"","" Data Analysis"","" Leadership and Management"","" Strategy"","" Strategy and Operations"","" Business Analysis"","" Design and Product"","" Planning"","" Communication"","" Business Psychology"","" Entrepreneurship"","" Business Development"","" Business Communication"","" Critical Thinking"","" Problem Solving"","" Exploratory Data Analysis"","" Process Analysis"","" Data Visualization"","" Operational Analysis"","" Visualization (Computer Graphics)"","" Interactive Data Visualization"","" Spreadsheet Software"","" Databases"","" SQL""}",4.5,115,Beginner , Professional Certificate , 3 - 6 Months,false
University of Michigan,Programming for Everybody (Getting Started with Python),"{"" Algorithms"","" Computational Logic"","" Computational Thinking"","" Computer Programming"","" Critical Thinking"","" Problem Solving"","" Programming Principles"","" Python Programming"","" Software Engineering"","" Theoretical Computer Science""}",4.8,224.9k,Beginner , Course , 1 - 3 Months,false
University of Illinois at Urbana-Champaign,Instructional Design Foundations and Applications,"{""(638 reviews)""}",4.0,638,Mixed , Course , 1 - 3 Months,false
DeepLearning.AI,Generative AI for Everyone,{Course},None,None,Course,None,None,false
DeepLearning.AI,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization","{"" Applied Machine Learning"","" Deep Learning"","" Machine Learning"","" Artificial Neural Networks"","" Machine Learning Algorithms"","" Algorithms"","" Computer Programming"","" Mathematics"","" Python Programming"","" Mathematical Theory & Analysis"","" Tensorflow"","" Human Learning""}",4.9,62.6k,Intermediate , Course , 1 - 4 Weeks,false
Google,Share Data Through the Art of Visualization,"{"" Business Communication"","" Data Analysis"","" Data Visualization"","" Data Visualization Software"","" Tableau Software""}",4.6,7.7k,Beginner , Course , 1 - 4 Weeks,false
DeepLearning.AI,AI for Medicine,"{"" Machine Learning"","" Machine Learning Algorithms"","" Deep Learning"","" Python Programming"","" Artificial Neural Networks"","" Statistical Programming"","" Probability & Statistics"","" Natural Language Processing""}",4.7,2.2k,Intermediate , Specialization , 1 - 3 Months,false
Google,Foundations of Data Science,"{"" Communication"","" Data Analysis"","" Planning"","" Project Management""}",4.7,1.3k,Advanced , Course , 1 - 3 Months,false
Google,Sound the Alarm: Detection and Response,"{"" Linux"","" Network Security"","" Computer Security Incident Management"","" Leadership and Management""}",4.8,746,Beginner , Course , 1 - 4 Weeks,false
Microsoft,Microsoft Azure Fundamentals AZ-900 Exam Prep,"{"" Cloud Computing"","" Microsoft Azure"","" Cloud Management"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Network Security"","" Cloud Engineering"","" Cloud Standards"","" DevOps"","" Leadership and Management"","" System Security"","" Cloud Storage"","" Machine Learning"","" Software As A Service"","" Cloud-Based Integration"","" Software Security"","" Data Management"","" Network Architecture"","" Security Software"","" Account Management"","" Database Administration"","" Databases"","" Web Development Tools""}",4.6,2.4k,Beginner , Specialization , 3 - 6 Months,false
University of Colorado Boulder,Project Management,"{"" Leadership and Management"","" Project Management"","" Planning"","" Strategy and Operations"","" Product Management"","" Agile Software Development"","" People Management"","" Strategy"","" Scrum (Software Development)"","" Performance Management"","" Risk Management"","" Business Process Management"","" Business Communication"","" Decision Making"","" Organizational Development"","" Product Development"","" Data Analysis"","" Estimation"","" Budget Management""}",4.8,452,Beginner , Specialization , 1 - 3 Months,false
Stanford University,Game Theory,"{"" Decision Making"","" Game Theory"","" General Statistics"","" Problem Solving"","" Critical Thinking"","" Mathematical Theory & Analysis""}",4.6,4.5k,Beginner , Course , 1 - 3 Months,false
California Institute of the Arts,UI / UX Design,"{"" Design and Product"","" Front-End Web Development"","" Graphic Design"","" Interactive Design"","" Research and Design"","" User Experience"","" User Experience Design"","" Visual Design"","" Visualization (Computer Graphics)"","" Web Design"","" Strategy""}",4.7,7.2k,Beginner , Specialization , 3 - 6 Months,false
IESE Business School,Foundations of Management,"{"" Leadership and Management"","" Accounting"","" Financial Accounting"","" Communication"","" Customer Analysis"","" Design and Product"","" Human Resources"","" Market Analysis"","" Marketing"","" Strategy and Operations"","" Finance"","" Financial Management"","" Leadership Development"","" Marketing Design"","" Product Marketing"","" Strategy"","" Employee Relations"","" Management Accounting"","" Market Research"","" People Development"","" People Management"","" Business Psychology"","" Collaboration"","" Culture"","" Financial Analysis""}",4.8,4.7k,Beginner , Specialization , 3 - 6 Months,false
Intuit,Bookkeeping Basics,"{"" Accounting"","" General Accounting"","" Accounting Software"","" Finance""}",4.6,4k,Beginner , Course , 1 - 4 Weeks,false
LearnQuest,Scrum Master Certification,"{"" Agile Software Development"","" Scrum (Software Development)"","" Project Management"","" Software Engineering"","" Continuous Delivery"","" Product Development"","" Continuous Integration"","" Leadership and Management"","" Product Management"","" Collaboration"","" DevOps"","" Software Testing"","" Product Lifecycle"","" Planning"","" Process Analysis"","" Software Engineering Tools"","" System Software"","" Business Communication"","" Devops Tools"","" Risk Management""}",4.7,2.5k,Beginner , Specialization , 3 - 6 Months,false
University of Illinois at Urbana-Champaign,Financial Analysis - Skills for Success,"{"" Finance"","" Financial Accounting"","" Accounts Payable and Receivable"","" Accounting"","" General Accounting"","" Financial Analysis"","" Leadership and Management"","" Cost Accounting"","" Generally Accepted Accounting Principles (GAAP)"","" Account Management"","" Business Analysis"","" Management Accounting"","" Risk Management"","" Data Analysis"","" Planning""}",4.7,160,Beginner , Specialization , 1 - 3 Months,false
Google,From Likes to Leads: Interact with Customers Online,"{"" Digital Marketing"","" Marketing"","" Marketing Management"","" Media Strategy & Planning"","" Social Media"","" Advertising"","" Data Analysis"","" Strategy""}",4.8,2.1k,Beginner , Course , 1 - 3 Months,false
Google Cloud,Google Professional Workspace Administrator,"{"" Leadership and Management"","" Account Management"","" Google Cloud Platform"","" Cloud Management"","" System Security"","" Cloud Applications"","" Cloud Platforms"","" Security Engineering"","" Operations Management"","" Software Security"","" Network Security"","" Cloud Computing"","" Data Management"","" Security Strategy"","" Cloud Infrastructure"","" Organizational Development"","" Other Cloud Platforms and Tools"","" Change Management"","" Cloud-Based Integration"","" Database Administration"","" Collaboration"","" Software As A Service"","" Strategy and Operations"","" Computer Security Incident Management"","" Planning"","" Strategy"","" Security Software"","" Project Management"","" Mobile Security"","" Accounting""}",4.7,2.9k,Beginner , Professional Certificate , 1 - 4 Weeks,false
Google,Data Analysis with R Programming,"{"" R Programming"","" Data Analysis"","" Computer Programming"","" SQL""}",4.8,8.7k,Beginner , Course , 1 - 3 Months,false
Yale University,Connected Leadership,"{"" Leadership and Management"","" Change Management"","" People Management"","" Process Analysis""}",4.8,247,Beginner , Course , 1 - 3 Months,false
Tableau Learning Partner,Tableau Business Intelligence Analyst,"{"" Business Analysis"","" Data Analysis"","" Data Architecture"","" Data Management"","" Interactive Data Visualization"","" Project Management"","" Tableau Software""}",4.8,97,Beginner , Professional Certificate , 3 - 6 Months,false
IBM,Applied Data Science with R,"{"" Data Analysis"","" R Programming"","" Computer Programming"","" Statistical Programming"","" Data Management"","" Data Visualization"","" Databases"","" Exploratory Data Analysis"","" Statistical Analysis"","" Data Analysis Software"","" Data Structures"","" Plot (Graphics)"","" Statistical Visualization"","" Basic Descriptive Statistics"","" Interactive Data Visualization"","" SQL"","" Database Application"","" Extract"","" Transform"","" Load"","" General Statistics"","" Visualization (Computer Graphics)"","" Programming Principles"","" Regression"","" Database Administration"","" Database Design"","" Database Theory"","" Computer Programming Tools"","" Correlation And Dependence"","" Statistical Machine Learning"","" Visual Design"","" Data Science""}",4.5,803,Beginner , Specialization , 3 - 6 Months,false
Stanford University,Stanford Introduction to Food and Health,"{""(30.2k reviews)""}",4.7,30.2k,Beginner , Course , 1 - 3 Months,false
IBM,IBM DevOps and Software Engineering,"{""""}",None,None,"",None,None,false
Google,Google Project Management,"{"" Leadership and Management"","" Planning"","" Communication"","" Strategy"","" Strategy and Operations"","" Business Analysis"","" Business Development"","" Business Psychology"","" Collaboration"","" Decision Making"","" Design and Product"","" Data Analysis"","" Entrepreneurship"","" Business Communication"","" Emotional Intelligence"","" People Management"","" Resilience"","" C++ Programming"","" Critical Thinking"","" Network Security"","" Data Analysis Software"","" Adaptability"","" Organizational Development"","" Project Management"","" Culture""}",4.6,149,Beginner , Professional Certificate , 3 - 6 Months,false
University of Virginia,Artificial Intelligence in Marketing,"{"" Digital Marketing"","" Marketing"","" Algorithms"","" Customer Relationship Management"","" Market Analysis"","" Strategy"","" Customer Success"","" Leadership and Management"","" Machine Learning Algorithms"","" Strategy and Operations""}",4.5,146,Beginner , Course , 1 - 4 Weeks,false
IBM,Introduction to Cloud Computing,"{"" Cloud Computing"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" DevOps"","" IBM Cloud""}",4.6,4.7k,Beginner , Course , 1 - 3 Months,false
Johns Hopkins University,Clinical Trials Operations,"{"" Leadership and Management"","" Data Management"","" Clinical Data Management"","" Communication"","" Data Analysis"","" Recruitment"","" Statistical Analysis""}",4.8,217,Beginner , Specialization , 3 - 6 Months,false
"University of California, Irvine",Project Management Principles and Practices,"{"" Project Management"","" Strategy and Operations"","" Leadership and Management"","" Collaboration"","" Communication"","" Conflict Management"","" Risk Management"","" Estimation"","" Planning""}",4.7,28.8k,Beginner , Specialization , 3 - 6 Months,false
Università Bocconi,Management of Fashion and Luxury Companies,"{"" Brand Management"","" Leadership and Management"","" Marketing"","" Retail Sales"","" Strategy"","" Business Analysis"","" Communication"","" Customer Analysis"","" Media Strategy & Planning"","" Product Design"","" Product Development""}",4.7,5.6k,Mixed , Course , 1 - 3 Months,false
Google,Soporte de Tecnologías de la Información de Google,"{"" Computer Networking"","" Communication"","" Computer Architecture"","" Operating Systems"","" Security Engineering"","" Network Security"","" Networking Hardware"","" Network Architecture"","" Human Computer Interaction"","" Software Security"","" System Software"","" Theoretical Computer Science"","" Security Software"","" Software-Defined Networking"","" Cloud Computing"","" Computational Logic"","" Data Management"","" Network Model"","" Customer Support"","" System Security"","" Cryptography"","" Problem Solving"","" Security Strategy"","" Adaptability"","" Linux""}",4.9,14.7k,Beginner , Professional Certificate , 3 - 6 Months,false
Wesleyan University,Creative Writing,"{"" Creativity"","" Human Learning"","" Storytelling"","" Writing""}",4.6,5.8k,Beginner , Specialization , 3 - 6 Months,false
DeepLearning.AI,Introduction to Machine Learning in Production,"{"" Machine Learning"","" Applied Machine Learning"","" Leadership and Management""}",4.8,2.6k,Advanced , Course , 1 - 4 Weeks,false
Macquarie University,"Influencing: Storytelling, Change Management and Governance","{"" Leadership and Management"","" Communication"","" Business Psychology"","" Strategy and Operations"","" Change Management"","" Conflict Management"","" Influencing"","" Organizational Development"","" Risk Management"","" Marketing"","" Negotiation"","" Sales"","" Critical Thinking"","" Decision Making"","" Entrepreneurship"","" Human Resources"","" Probability & Statistics"","" Business Communication"","" Employee Relations"","" People Analysis"","" Tensorflow"","" Storytelling""}",4.8,3.6k,Beginner , Specialization , 3 - 6 Months,false
Google,Automate Cybersecurity Tasks with Python,"{"" Python Programming"","" Algorithms"","" Computer Programming""}",4.8,726,Beginner , Course , 1 - 4 Weeks,false
Google,IT Security: Defense against the digital dark arts,"{"" Cryptography"","" Network Security"","" System Security""}",4.8,21k,Beginner , Course , 1 - 3 Months,false
Johns Hopkins University,Principles of Management,"{"" Leadership and Management"","" Planning"","" Strategy"","" Critical Thinking"","" Operations Management"","" People Management"","" Strategy and Operations"","" Business Communication"","" Business Intelligence"","" Organizational Development"","" Project Management""}",4.7,206,Mixed , Course , 1 - 4 Weeks,false
Google,Build Wireframes and Low-Fidelity Prototypes,"{"" Product Design"","" User Experience"","" User Research""}",4.9,7.6k,Beginner , Course , 1 - 4 Weeks,false
University of Illinois at Urbana-Champaign,Accelerated Computer Science Fundamentals,"{"" Computer Programming"","" C Programming Language Family"","" Data Structures"","" Algorithms"","" C++ Programming"","" Theoretical Computer Science"","" Programming Principles"","" Computational Thinking"","" Problem Solving"","" Computer Programming Tools"","" Critical Thinking"","" Computational Logic"","" Graph Theory""}",4.7,3.3k,Intermediate , Specialization , 1 - 3 Months,false
"University of California, Irvine",Career Success,"{"" Leadership and Management"","" Professional Development"","" Strategy and Operations"","" Business Communication"","" Adaptability"","" Business Analysis"","" Communication"","" Decision Making"","" Project Management"","" People Management"","" Critical Thinking"","" Collaboration"","" Customer Relationship Management"","" Strategy"","" Planning"","" Business Development"","" Problem Solving"","" Accounting"","" Change Management"","" Conflict Management"","" Financial Accounting"","" Leadership Development"","" Entrepreneurship"","" People Development"","" Business Research"","" Cost Accounting"","" Deep Learning"","" Finance"","" Financial Management"","" General Accounting"","" Generally Accepted Accounting Principles (GAAP)"","" Negotiation"","" Financial Analysis"","" Writing"","" Benefits"","" Contract Management"","" Entrepreneurial Finance"","" Data Visualization Software"","" Marketing"","" Scrum (Software Development)"","" User Experience"","" Estimation""}",4.6,41.3k,Beginner , Specialization , 3 - 6 Months,false
University of Pennsylvania,AI Fundamentals for Non-Data Scientists,"{"" Machine Learning"","" Machine Learning Algorithms"","" Artificial Neural Networks"","" Data Analysis"","" Deep Learning"","" Human Learning"","" Big Data""}",4.8,210,Mixed , Course , 1 - 4 Weeks,false
University of Pennsylvania,Intellectual Property Law,"{"" Critical Thinking"","" Strategy"","" Innovation"","" Brand Management"","" Leadership and Management"","" Marketing"","" Strategy and Operations"","" Design and Product""}",4.8,1.2k,Intermediate , Specialization , 3 - 6 Months,false
University of Pennsylvania,Fundamentals of Quantitative Modeling,"{"" Business Analysis"","" Data Model"","" Finance"","" Forecasting"","" General Statistics"","" Mathematical Theory & Analysis"","" Probability & Statistics"","" Regression"","" Statistical Analysis"","" Linear Algebra""}",4.6,8.6k,Mixed , Course , 1 - 4 Weeks,false
University of Amsterdam,Methods and Statistics in Social Sciences,"{"" Probability & Statistics"","" Statistical Tests"","" General Statistics"","" Statistical Analysis"","" Correlation And Dependence"","" Statistical Programming"","" Basic Descriptive Statistics"","" Research and Design"","" Data Analysis"","" Regression"","" Adaptability"","" Computational Thinking"","" Critical Thinking"","" People Analysis"","" Theoretical Computer Science"","" Writing"","" Probability Distribution"","" Problem Solving"","" R Programming"","" Experiment"","" Mathematical Theory & Analysis"","" Computer Programming""}",4.6,7.3k,Beginner , Specialization , 3 - 6 Months,false
University of Virginia,Pricing Strategy Optimization,"{"" Marketing"","" Strategy"","" Strategy and Operations"","" Customer Analysis"","" Sales"","" Product Strategy"","" Business Analysis"","" Leadership and Management"","" Market Analysis"","" Product Marketing"","" Design and Product"","" Product Management"","" Entrepreneurship"","" Market Research"","" Accounting"","" Decision Making"","" Game Theory"","" B2B Sales"","" Cost Accounting"","" Data Analysis"","" Product Lifecycle"","" Marketing Management"","" Retail Sales""}",4.8,864,Beginner , Specialization , 3 - 6 Months,false
The Museum of Modern Art,Modern and Contemporary Art and Design,"{"" Design and Product"","" Critical Thinking"","" Creativity""}",4.8,14.1k,Beginner , Specialization , 3 - 6 Months,false
"University of California, Davis",The Strategy of Content Marketing,"{"" Digital Marketing"","" Marketing"","" Writing"","" Strategy""}",4.5,4.3k,Intermediate , Course , 1 - 3 Months,false
Stanford University,Introduction to Healthcare,"{""(780 reviews)""}",4.8,780,Beginner , Course , 1 - 3 Months,false
Google,Capstone: Applying Project Management in the Real World,"{"" Communication"","" Leadership and Management"","" Planning"","" Problem Solving"","" Project Management""}",4.8,6.8k,Beginner , Course , 1 - 4 Weeks,false
Duke University,Java Programming and Software Engineering Fundamentals,"{"" Computer Programming"","" Java Programming"","" Programming Principles"","" Algorithms"","" Problem Solving"","" Data Structures"","" Software Engineering"","" Computer Programming Tools"","" Critical Thinking"","" Computational Thinking"","" Data Analysis"","" Javascript"","" Software Testing"","" Front-End Web Development"","" HTML and CSS"","" Web Design"","" Web Development"","" Web Development Tools"","" Computer Graphic Techniques"","" Software Architecture"","" Data Model"","" Cryptography"","" Data Analysis Software"","" Statistical Programming"","" Strategy""}",4.6,21.5k,Beginner , Specialization , 3 - 6 Months,false
DeepLearning.AI,Natural Language Processing with Classification and Vector Spaces,"{"" Machine Learning"","" Natural Language Processing"","" Probability & Statistics"","" Python Programming"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Computer Programming"","" Human Learning"","" Mathematics"","" Statistical Machine Learning""}",4.6,4.1k,Intermediate , Course , 1 - 4 Weeks,false
IBM,Introduction to Cybersecurity Tools & Cyber Attacks,"{"" Cryptography"","" Security Software"","" Cyberattacks"","" Leadership and Management""}",4.6,14.7k,Beginner , Course , 1 - 4 Weeks,false
University of London,"Brand Management: Aligning Business, Brand and Behaviour","{"" Brand Management"","" Leadership and Management"","" Marketing""}",4.9,7k,Beginner , Course , 1 - 3 Months,false
Google Cloud,Machine Learning on Google Cloud,"{"" Machine Learning"","" Applied Machine Learning"","" Google Cloud Platform"","" Human Learning"","" Machine Learning Software"","" Cloud Computing"","" Machine Learning Algorithms"","" Deep Learning"","" Cloud Platforms"","" Artificial Neural Networks"","" Feature Engineering"","" Exploratory Data Analysis"","" Tensorflow"","" Python Programming"","" Data Analysis"","" Data Visualization"","" Probability & Statistics"","" Regression"","" Statistical Programming"","" Statistical Visualization"","" Algorithms"","" SQL"","" Cloud API"","" Apache"","" Extract"","" Transform"","" Load""}",4.5,9.5k,Intermediate , Specialization , 3 - 6 Months,false
University of Pennsylvania,Removing Barriers to Change,"{"" Business Psychology"","" Change Management"","" Leadership and Management"","" Problem Solving"","" Strategy"","" Behavioral Economics"","" Influencing"","" Marketing"","" Organizational Development"","" Strategy and Operations""}",4.9,373,Beginner , Course , 1 - 4 Weeks,false
Google Cloud,Google Cloud Digital Leader Training,"{"" Cloud Computing"","" Cloud Infrastructure"","" Google Cloud Platform"","" Cloud Management"","" Cloud Platforms"","" Cloud Applications"","" Cloud-Based Integration"","" Cloud Clients"","" Kubernetes"","" Other Cloud Platforms and Tools"","" Data Management"","" DevOps"","" Software Engineering Tools"","" System Security"","" Data Architecture"","" Google App Engine"","" Account Management"","" Collaboration"","" Innovation"","" Leadership and Management"","" Operations Management"","" Data Warehousing"","" Machine Learning""}",4.8,3.7k,Beginner , Professional Certificate , 3 - 6 Months,false
SAS,SAS Programmer,"{"" SAS (Software)"","" Data Analysis"","" Statistical Programming"","" Data Analysis Software"","" Computer Programming"","" Statistical Analysis"","" Programming Principles"","" Data Management"","" Data Structures"","" Exploratory Data Analysis"","" Databases"","" SQL"","" Problem Solving"","" Process Analysis"","" Computer Programming Tools"","" Computational Logic""}",4.8,3.3k,Beginner , Professional Certificate , 3 - 6 Months,true
Emory University,Management Consulting,"{"" Leadership and Management"","" Business Communication"","" Critical Thinking"","" Problem Solving"","" Decision Making"","" Strategy"","" Business Development"","" Business Intelligence"","" Communication"","" Market Research"","" Data Analysis"","" People Analysis"","" People Management"","" Process Analysis"","" Project Management"","" Strategy and Operations"","" Data Management""}",4.8,546,Beginner , Specialization , 3 - 6 Months,false
Macquarie University,Excel Skills for Data Analytics and Visualization,"{"" Business Analysis"","" Spreadsheet Software"","" Data Analysis"","" Data Management"","" Data Visualization"","" Microsoft Excel"","" Data Analysis Software"","" Exploratory Data Analysis"","" Statistical Visualization"","" Data Model"","" Data Structures"","" Data Visualization Software"","" Database Design"","" Plot (Graphics)"","" Visual Design"","" Big Data"","" Power BI"","" Leadership and Management""}",4.8,4.7k,Intermediate , Specialization , 3 - 6 Months,false
Vanderbilt University,MATLAB Programming for Engineers and Scientists,"{"" Computer Programming"","" Other Programming Languages"","" Matlab"","" Data Analysis"","" Algorithms"","" Theoretical Computer Science"","" Data Visualization"","" Mathematics"","" Plot (Graphics)"","" Visualization (Computer Graphics)"","" Computer Graphics"","" Statistical Machine Learning"","" Data Analysis Software"","" Problem Solving"","" Programming Principles""}",4.8,17.6k,Beginner , Specialization , 3 - 6 Months,false
Yale University,Managing Emotions in Times of Uncertainty & Stress,"{"" Emotional Intelligence""}",4.8,2.7k,Beginner , Course , 1 - 3 Months,false
